# source=Bloomberg OMON Option Monitor, Moneyness tab, Mid vols
# asof=2026-07-24 11:05  spot=1055.58  prev=1126.33  HV=83.01
# columns=spot-moneyness (%), rows=tenor; values=mid implied vol (%)
# note: 100% column and 9M-2Y rows contain visible fit artifacts (see README)
tenor,80,85,90,95,97.5,100,102.5,105,110,115,120
1W,83.24,78.22,84.05,68.27,76.10,69.64,57.08,68.83,62.74,55.00,71.13
2W,83.24,78.22,80.03,70.47,74.91,70.58,63.12,67.60,55.71,54.17,71.13
3W,77.47,75.93,77.32,75.81,74.61,104.17,71.26,72.77,73.01,72.18,66.74
1M,77.79,75.11,75.29,74.66,72.97,91.91,61.66,71.69,71.97,71.12,67.61
2M,74.97,73.59,72.19,72.89,71.08,71.94,58.48,70.28,70.23,69.40,69.25
3M,72.82,70.66,69.96,70.61,68.22,68.32,69.04,68.48,68.92,67.96,66.74
6M,65.75,64.32,64.26,59.77,63.10,64.01,67.43,65.14,62.37,61.95,61.78
9M,61.19,61.26,60.03,76.77,60.63,76.41,89.61,91.17,82.00,66.48,90.33
1Y,58.63,58.99,58.93,72.81,93.33,87.83,92.22,90.38,94.74,71.89,91.71
18M,54.84,54.33,57.50,82.45,81.71,79.32,80.37,71.02,80.52,90.66,81.89
2Y,51.63,51.57,50.85,63.49,70.89,83.99,69.23,62.20,48.98,75.24,86.52
