# spot=1055.58
# year_fraction=0.20821917808219179
# forward=1049.754882610135
# rate=0.02353715721534055
# r2=0.9999163900269703
# num_strikes_used=19
,security_des,opt_put_call,opt_strike_px,opt_expire_dt,opt_cont_size,opt_undl_px,px_bid,px_ask,px_last,ivol_bid,ivol_ask,ivol_mid,delta_mid,gamma_mid,vega_mid,theta_mid,px_volume,open_int
KOSPI2 10/08/26 C745 Index,KOSPI2 10/08/26 C745,Call,745.0,2026-10-08,250000.0,1055.58,,,330.55,,,,,,,,0.0,0
KOSPI2 10/08/26 C750 Index,KOSPI2 10/08/26 C750,Call,750.0,2026-10-08,250000.0,1055.58,,,326.35,,,,,,,,0.0,0
KOSPI2 10/08/26 C800 Index,KOSPI2 10/08/26 C800,Call,800.0,2026-10-08,250000.0,1055.58,,,286.35,,,,,,,,0.0,0
KOSPI2 10/08/26 C850 Index,KOSPI2 10/08/26 C850,Call,850.0,2026-10-08,250000.0,1055.58,,,248.7,,,,,,,,0.0,0
KOSPI2 10/08/26 C900 Index,KOSPI2 10/08/26 C900,Call,900.0,2026-10-08,250000.0,1055.58,,,215.5,,,,,,,,0.0,0
KOSPI2 10/08/26 C950 Index,KOSPI2 10/08/26 C950,Call,950.0,2026-10-08,250000.0,1055.58,,,185.05,,,,,,,,0.0,1
KOSPI2 10/08/26 C1000 Index,KOSPI2 10/08/26 C1000,Call,1000.0,2026-10-08,250000.0,1055.58,,,157.25,,,,,,,,0.0,3
KOSPI2 10/08/26 C1050 Index,KOSPI2 10/08/26 C1050,Call,1050.0,2026-10-08,250000.0,1055.58,,,134.05,,,,,,,,0.0,400
KOSPI2 10/08/26 C1100 Index,KOSPI2 10/08/26 C1100,Call,1100.0,2026-10-08,250000.0,1055.58,89.85,130.9,111.9,56.69857,78.57844,67.63491,0.511913,0.013192,1.877291,-0.8634,0.0,3
KOSPI2 10/08/26 C1150 Index,KOSPI2 10/08/26 C1150,Call,1150.0,2026-10-08,250000.0,1055.58,73.1,112.95,94.95,57.33,78.70557,68.05939,0.454393,0.013031,1.866256,-0.865076,0.0,11
KOSPI2 10/08/26 C1200 Index,KOSPI2 10/08/26 C1200,Call,1200.0,2026-10-08,250000.0,1055.58,58.1,94.9,78.2,57.2628,77.55815,67.52314,0.397847,0.012787,1.816868,-0.83666,400.0,830
KOSPI2 10/08/26 C1250 Index,KOSPI2 10/08/26 C1250,Call,1250.0,2026-10-08,250000.0,1055.58,45.35,81.6,66.0,56.92428,77.85964,67.62588,0.347085,0.012222,1.739171,-0.802964,936.0,1462
KOSPI2 10/08/26 C1300 Index,KOSPI2 10/08/26 C1300,Call,1300.0,2026-10-08,250000.0,1055.58,36.95,66.25,54.1,57.87438,75.90594,67.16383,0.298521,0.011562,1.634091,-0.749889,0.0,11
KOSPI2 10/08/26 C1350 Index,KOSPI2 10/08/26 C1350,Call,1350.0,2026-10-08,250000.0,1055.58,24.9,56.1,45.05,54.84799,75.92431,65.95796,0.25084,0.010805,1.499579,-0.676343,0.0,80
KOSPI2 10/08/26 C1400 Index,KOSPI2 10/08/26 C1400,Call,1400.0,2026-10-08,250000.0,1055.58,23.15,46.0,37.1,58.39955,75.00273,67.13464,0.218835,0.009844,1.39063,-0.638664,1436.0,1818
KOSPI2 10/08/26 C1450 Index,KOSPI2 10/08/26 C1450,Call,1450.0,2026-10-08,250000.0,1055.58,15.45,38.2,30.05,55.91798,74.65817,66.05034,0.180705,0.008916,1.239252,-0.56024,0.0,40
KOSPI2 10/08/26 C1500 Index,KOSPI2 10/08/26 C1500,Call,1500.0,2026-10-08,250000.0,1055.58,12.35,30.8,25.05,56.62592,73.69389,65.93998,0.151537,0.007971,1.105932,-0.499368,0.0,5
KOSPI2 10/08/26 C1550 Index,KOSPI2 10/08/26 C1550,Call,1550.0,2026-10-08,250000.0,1055.58,13.4,24.8,20.05,61.4911,72.91068,67.63294,0.134548,0.007171,1.020598,-0.472739,0.0,1
KOSPI2 10/08/26 C1595 Index,KOSPI2 10/08/26 C1595,Call,1595.0,2026-10-08,250000.0,1055.58,9.24,18.75,16.8,59.49878,70.7074,65.57697,0.106223,0.006261,0.863917,-0.388172,0.0,318
KOSPI2 10/08/26 P745 Index,KOSPI2 10/08/26 P745,Put,745.0,2026-10-08,250000.0,1055.58,19.75,29.95,23.8,72.48354,83.51784,79.2368,-0.119643,0.005641,0.940468,-0.509994,36.0,445
KOSPI2 10/08/26 P750 Index,KOSPI2 10/08/26 P750,Put,750.0,2026-10-08,250000.0,1055.58,20.3,33.25,23.55,72.10143,85.65471,79.15114,-0.123281,0.005767,0.960478,-0.520246,0.0,422
KOSPI2 10/08/26 P800 Index,KOSPI2 10/08/26 P800,Put,800.0,2026-10-08,250000.0,1055.58,25.6,43.65,35.5,67.37831,83.38785,75.67322,-0.157433,0.007123,1.134232,-0.586926,0.0,697
KOSPI2 10/08/26 P850 Index,KOSPI2 10/08/26 P850,Put,850.0,2026-10-08,250000.0,1055.58,36.55,57.7,49.7,66.34947,82.3217,74.51746,-0.202334,0.00847,1.328059,-0.676194,312.0,562
KOSPI2 10/08/26 P900 Index,KOSPI2 10/08/26 P900,Put,900.0,2026-10-08,250000.0,1055.58,48.7,79.3,66.5,64.18286,84.5085,74.50463,-0.254103,0.009631,1.509819,-0.767705,0.0,659
KOSPI2 10/08/26 P950 Index,KOSPI2 10/08/26 P950,Put,950.0,2026-10-08,250000.0,1055.58,64.55,95.0,87.5,62.66531,81.09552,71.9356,-0.306676,0.010926,1.653927,-0.810931,0.0,1
KOSPI2 10/08/26 P1000 Index,KOSPI2 10/08/26 P1000,Put,1000.0,2026-10-08,250000.0,1055.58,83.4,118.55,109.75,61.0809,80.94799,71.02314,-0.364664,0.011842,1.769755,-0.855324,0.0,385
KOSPI2 10/08/26 P1050 Index,KOSPI2 10/08/26 P1050,Put,1050.0,2026-10-08,250000.0,1055.58,105.75,145.15,137.2,59.62457,80.9868,70.28763,-0.424274,0.012473,1.844741,-0.880559,0.0,606
KOSPI2 10/08/26 P1100 Index,KOSPI2 10/08/26 P1100,Put,1100.0,2026-10-08,250000.0,1055.58,132.15,180.4,165.05,58.54166,84.26562,71.39193,-0.481217,0.01249,1.876242,-0.90752,312.0,412
KOSPI2 10/08/26 P1150 Index,KOSPI2 10/08/26 P1150,Put,1150.0,2026-10-08,250000.0,1055.58,150.5,226.3,197.65,51.26236,91.91963,71.71657,-0.535993,0.012394,1.870359,-0.906105,0.0,0
KOSPI2 10/08/26 P1200 Index,KOSPI2 10/08/26 P1200,Put,1200.0,2026-10-08,250000.0,1055.58,,,230.9,,,,,,,,0.0,36
KOSPI2 10/08/26 P1250 Index,KOSPI2 10/08/26 P1250,Put,1250.0,2026-10-08,250000.0,1055.58,,,267.1,,164.2293,164.2293,-0.442078,0.005359,1.863141,-2.054303,0.0,0
KOSPI2 10/08/26 P1300 Index,KOSPI2 10/08/26 P1300,Put,1300.0,2026-10-08,250000.0,1055.58,,,305.15,,,,,,,,0.0,0
KOSPI2 10/08/26 P1350 Index,KOSPI2 10/08/26 P1350,Put,1350.0,2026-10-08,250000.0,1055.58,,,343.7,,,,,,,,0.0,500
KOSPI2 10/08/26 P1400 Index,KOSPI2 10/08/26 P1400,Put,1400.0,2026-10-08,250000.0,1055.58,,,385.65,,,,,,,,0.0,0
KOSPI2 10/08/26 P1450 Index,KOSPI2 10/08/26 P1450,Put,1450.0,2026-10-08,250000.0,1055.58,,,427.55,,164.2569,164.2569,-0.522185,0.005405,1.879327,-2.060317,0.0,0
KOSPI2 10/08/26 P1500 Index,KOSPI2 10/08/26 P1500,Put,1500.0,2026-10-08,250000.0,1055.58,,,470.6,40.92436,,40.92436,-0.962539,0.004284,0.371145,-0.067199,0.0,0
KOSPI2 10/08/26 P1550 Index,KOSPI2 10/08/26 P1550,Put,1550.0,2026-10-08,250000.0,1055.58,,,515.5,,,,,,,,0.0,0
KOSPI2 10/08/26 P1595 Index,KOSPI2 10/08/26 P1595,Put,1595.0,2026-10-08,250000.0,1055.58,,,555.85,,,,,,,,0.0,0
