# spot=1055.58
# year_fraction=0.13150684931506848
# forward=1059.732823370682
# rate=0.031440882048474436
# r2=0.9998659656740725
# num_strikes_used=19
,security_des,opt_put_call,opt_strike_px,opt_expire_dt,opt_cont_size,opt_undl_px,px_bid,px_ask,px_last,ivol_bid,ivol_ask,ivol_mid,delta_mid,gamma_mid,vega_mid,theta_mid,px_volume,open_int
KOSPI2 09/10/26 C700 Index,KOSPI2 09/10/26 C700,Call,700.0,2026-09-10,250000.0,1055.58,,,367.85,,,,,,,,1.0,1369
KOSPI2 09/10/26 C750 Index,KOSPI2 09/10/26 C750,Call,750.0,2026-09-10,250000.0,1055.58,,,323.65,,,,,,,,0.0,3
KOSPI2 09/10/26 C800 Index,KOSPI2 09/10/26 C800,Call,800.0,2026-09-10,250000.0,1055.58,,,280.8,,,,,,,,0.0,1602
KOSPI2 09/10/26 C850 Index,KOSPI2 09/10/26 C850,Call,850.0,2026-09-10,250000.0,1055.58,,,240.4,,,,,,,,0.0,1342
KOSPI2 09/10/26 C900 Index,KOSPI2 09/10/26 C900,Call,900.0,2026-09-10,250000.0,1055.58,,,202.85,,,,,,,,0.0,900
KOSPI2 09/10/26 C950 Index,KOSPI2 09/10/26 C950,Call,950.0,2026-09-10,250000.0,1055.58,,,177.0,,,,,,,,1.0,253
KOSPI2 09/10/26 C1000 Index,KOSPI2 09/10/26 C1000,Call,1000.0,2026-09-10,250000.0,1055.58,,,138.15,,217.5557,217.5557,0.679439,0.004499,1.375008,-3.051819,0.0,1760
KOSPI2 09/10/26 C1050 Index,KOSPI2 09/10/26 C1050,Call,1050.0,2026-09-10,250000.0,1055.58,104.95,142.2,112.85,66.12984,89.08894,77.5943,0.567972,0.013937,1.507028,-1.203584,0.0,552
KOSPI2 09/10/26 C1100 Index,KOSPI2 09/10/26 C1100,Call,1100.0,2026-09-10,250000.0,1055.58,81.0,116.8,97.0,64.29047,85.95702,76.01596,0.500238,0.01444,1.529205,-1.198647,1.0,386
KOSPI2 09/10/26 C1150 Index,KOSPI2 09/10/26 C1150,Call,1150.0,2026-09-10,250000.0,1055.58,62.15,92.2,71.85,64.30683,,74.00097,0.431723,0.014614,1.507146,-1.150987,0.0,49
KOSPI2 09/10/26 C1200 Index,KOSPI2 09/10/26 C1200,Call,1200.0,2026-09-10,250000.0,1055.58,,,58.45,,,73.10038,0.367842,0.014184,1.444975,-1.091052,13.0,474
KOSPI2 09/10/26 C1250 Index,KOSPI2 09/10/26 C1250,Call,1250.0,2026-09-10,250000.0,1055.58,,,42.85,64.11249,80.41363,72.43329,0.309181,0.013386,1.351247,-1.011668,50.0,747
KOSPI2 09/10/26 C1300 Index,KOSPI2 09/10/26 C1300,Call,1300.0,2026-09-10,250000.0,1055.58,27.5,46.85,36.0,64.08819,79.32837,71.95438,0.25681,0.012325,1.235915,-0.919699,118.0,3039
KOSPI2 09/10/26 C1350 Index,KOSPI2 09/10/26 C1350,Call,1350.0,2026-09-10,250000.0,1055.58,19.9,35.7,29.1,62.73489,77.31837,70.36956,0.205697,0.011134,1.091634,-0.795016,56.0,3170
KOSPI2 09/10/26 C1400 Index,KOSPI2 09/10/26 C1400,Call,1400.0,2026-09-10,250000.0,1055.58,16.65,29.8,21.65,65.02174,78.40007,72.08262,0.175058,0.009841,0.988842,-0.737566,40.0,1723
KOSPI2 09/10/26 C1450 Index,KOSPI2 09/10/26 C1450,Call,1450.0,2026-09-10,250000.0,1055.58,12.35,21.3,13.55,64.93591,75.70194,70.63232,0.136589,0.008527,0.83929,-0.613812,0.0,511
KOSPI2 09/10/26 C1500 Index,KOSPI2 09/10/26 C1500,Call,1500.0,2026-09-10,250000.0,1055.58,12.05,16.0,18.3,69.36778,74.67442,72.10965,0.115605,0.007435,0.7472,-0.557877,1.0,4653
KOSPI2 09/10/26 C1550 Index,KOSPI2 09/10/26 C1550,Call,1550.0,2026-09-10,250000.0,1055.58,8.22,11.45,8.64,67.7494,73.06688,70.52085,0.08719,0.006189,0.608161,-0.444317,0.0,44
KOSPI2 09/10/26 C1597.5 Index,KOSPI2 09/10/26 C1597.5,Call,1597.5,2026-09-10,250000.0,1055.58,6.66,7.79,7.7,68.63199,70.88996,69.78777,0.067546,0.005152,0.500875,-0.362224,2.0,1871
KOSPI2 09/10/26 P700 Index,KOSPI2 09/10/26 P700,Put,700.0,2026-09-10,250000.0,1055.58,8.82,9.92,10.5,80.52285,82.89256,81.72505,-0.061341,0.004082,0.464752,-0.393454,6.0,5103
KOSPI2 09/10/26 P750 Index,KOSPI2 09/10/26 P750,Put,750.0,2026-09-10,250000.0,1055.58,12.55,15.6,15.1,76.39667,81.32781,78.92656,-0.088927,0.005612,0.617168,-0.504421,4.0,1829
KOSPI2 09/10/26 P800 Index,KOSPI2 09/10/26 P800,Put,800.0,2026-09-10,250000.0,1055.58,16.4,22.95,22.5,70.77081,79.10758,75.1209,-0.122132,0.007415,0.777156,-0.603485,23.0,5719
KOSPI2 09/10/26 P850 Index,KOSPI2 09/10/26 P850,Put,850.0,2026-09-10,250000.0,1055.58,24.45,35.45,34.0,68.75549,79.90035,74.54369,-0.171559,0.009396,0.976101,-0.752596,5.0,1756
KOSPI2 09/10/26 P900 Index,KOSPI2 09/10/26 P900,Put,900.0,2026-09-10,250000.0,1055.58,33.95,51.4,44.0,60.65704,80.2866,72.98789,-0.22753,0.011378,1.157384,-0.873107,113.0,2901
KOSPI2 09/10/26 P950 Index,KOSPI2 09/10/26 P950,Put,950.0,2026-09-10,250000.0,1055.58,40.7,,59.05,58.17238,79.05805,58.17238,-0.26737,0.015565,1.261474,-0.758418,0.0,1011
